time;width;cnt;level;volt
-32.39;  226;  1;True ;  2.48
-32.16; 1116;  1;False;  2.00
-31.04;  902;  2;True ;  2.40
-30.14;  455;  2;False;  2.00
-29.69;  218;  3;True ;  2.40
-29.47; 1127;  3;False;  2.00
-28.34;  893;  4;True ;  2.40
-27.45;  467;  4;False;  2.00
-26.98;  209;  5;True ;  2.48
-26.77; 1127;  5;False;  1.92
-25.65;  894;  6;True ;  2.40
-24.75;  460;  6;False;  2.00
-24.29;  215;  7;True ;  2.48
-24.08; 1132;  7;False;  1.92
-22.95;  214;  8;True ;  2.48
-22.73; 1132;  8;False;  2.00
-21.60;  210;  9;True ;  2.40
-21.39; 1134;  9;False;  2.00
-20.26;  210; 10;True ;  2.48
-20.05; 1137; 10;False;  2.00
-18.91;  208; 11;True ;  2.40
-18.70; 1122; 11;False;  2.00
-17.58;  897; 12;True ;  2.40
-16.68;  475; 12;False;  2.00
-16.21;  199; 13;True ;  2.40
-16.01; 1142; 13;False;  1.92
-14.87;  880; 14;True ;  2.40
-13.99;  470; 14;False;  1.92
-13.52;  204; 15;True ;  2.40
-13.31; 1132; 15;False;  1.84
-12.18;  891; 16;True ;  2.40
-11.29;  467; 16;False;  1.92
-10.82;  206; 17;True ;  2.40
-10.61; 1139; 17;False;  1.92
 -9.48;  883; 18;True ;  2.48
 -8.59;  477; 18;False;  2.00
 -8.12;  198; 19;True ;  2.40
 -7.92; 1140; 19;False;  2.00
 -6.78;  884; 20;True ;  2.40
 -5.89;  473; 20;False;  1.92
 -5.42;  880; 21;True ;  2.40
 -4.54;  471; 21;False;  2.00
 -4.07;  882; 22;True ;  2.40
 -3.19;  485; 22;False;  1.92
 -2.70;  867; 23;True ;  2.40
 -1.84;  485; 23;False;  2.00
 -1.35;  869; 24;True ;  2.56
 -0.48;  490; 24;False;  2.00
  0.01;  184; 25;True ;  2.48
  0.19;34805; 25;False;  2.00
